year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2018,כפר קרע,6,53.09,28.12,1181,16.6,12.8
2018,כפר שמריהו,-,91.67,-,-,44.0,27.7
2018,כפר תבור,-,85.29,-,-,49.4,13.4
2018,כרמיאל,11,59.71,21.09,1835,19.6,12.9
2018,להבים,-,83.85,-,-,67.5,18.8
2018,לוד,18,43.88,25.42,4143,10.0,9.9
2018,לקיה,3,33.33,28.46,996,8.4,8.8
2018,מבשרת ציון,3,70.59,25.64,1000,40.4,14.6
2018,מגאר,4,61.43,23.92,1148,11.1,14.6
2018,מג'ד אל-כרום,7,50.57,27.05,1055,8.7,14.4
2018,מגדל,-,57.14,-,-,17.0,12.5
2018,מגדל העמק,9,44.86,21.44,1415,12.1,7.8
2018,מג'דל שמס,1,64.67,27.68,526,6.2,19.3
2018,מודיעין עילית,37,1.16,33.87,5385,3.1,2.2
2018,מודיעין-מכבים-רעות*,15,85.21,30.10,5147,52.2,14.4
2018,מזכרת בתיה,1,80.0,27.58,662,50.8,14.3
2018,מזרעה,-,50.98,-,-,9.3,10.1
2018,מטולה,-,55.0,-,-,35.1,17.4
2018,מיתר,1,84.7,29.64,415,61.2,13.8
2018,מסעדה,1,58.9,23.62,307,4.1,15.9
2018,מעיליא,1,81.25,27.77,361,28.2,32.0
2018,מעלה אדומים,8,74.21,25.69,1927,22.0,14.7
2018,מעלה אפרים,1,43.75,15.67,94,16.3,6.0
2018,מעלה עירון,2,49.84,28.57,800,10.0,9.5
2018,מעלות-תרשיחא,4,62.3,23.97,935,16.4,11.3
2018,מצפה רמון,2,57.63,23.71,332,19.6,8.0
2018,משהד,3,39.66,22.69,658,9.5,14.9
2018,נהרייה,8,58.38,24.75,1906,19.7,10.8
2018,נחף,3,45.24,21.92,855,11.2,15.5
2018,נס ציונה,7,84.46,28.59,1801,48.5,15.4
2018,נצרת,24,50.07,28.75,6094,13.8,15.1
2018,נצרת עילית,5,63.53,22.08,883,15.5,12.7
2018,נשר,1,69.14,23.67,568,27.8,17.2
2018,נתיבות,13,40.53,21.80,1548,12.6,9.8
2018,נתניה,29,57.64,24.83,7845,21.3,13.4
2018,סאג'ור,1,53.33,18.33,165,14.1,12.7
2018,סביון*,-,93.42,-,-,51.0,21.0
2018,סח'נין,6,52.8,28.25,1921,13.8,17.4
2018,ע'ג'ר,1,55.56,22.50,135,8.7,15.8
2018,עומר,1,86.36,31.67,380,58.3,14.5
2018,עיילבון,1,46.73,35.75,286,19.8,19.7
2018,עילוט,1,53.24,27.47,412,2.2,8.1
2018,עין מאהל,3,35.02,31.45,912,7.9,10.7
2018,עין קנייא,-,44.0,-,-,4.2,22.1
2018,עכו,12,45.0,21.91,2344,12.2,10.9
2018,עמנואל,1,26.09,21.50,86,5.2,2.3
2018,עספיא,2,77.23,23.80,595,12.6,16.6
2018,עפולה,9,51.39,24.99,1674,14.5,11.7
2018,עראבה,5,61.31,25.74,1467,14.2,14.8
2018,ערד,5,46.85,27.65,1023,11.4,5.3
2018,ערערה,3,46.51,28,952,13.1,11.1
2018,ערערה-בנגב,4,11.99,24.57,1327,6.2,5.9
2018,פוריידיס,4,54.75,24.42,806,7.7,9.4
2018,פסוטה,-,86.54,-,-,23.0,27.7
2018,פקיעין (בוקייעה),1,81.63,24.33,219,18.2,16.6
2018,פרדס חנה-כרכור,8,61.22,23.71,972,38.9,7.9
2018,פרדסייה,-,81.32,-,-,45.0,15.3
2018,פתח תקווה,51,67.62,25.53,10799,31.5,14.7
2018,צפת,14,35.86,24.36,2046,13.4,10.7
2018,קדומים,2,81.05,22.42,426,51.1,20.7
2018,קדימה-צורן,1,76.49,32.84,624,47.3,9.8
2018,קלנסווה,4,55.35,28.54,1427,10.6,14.2
2018,קצרין,2,54.46,19.87,616,15.4,18.3
2018,קריית אונו,3,84.14,31.07,1771,54.6,18.7
2018,קריית ארבע,2,58.62,21.89,394,24.0,17.6
2018,קריית אתא,8,56.28,21.83,1768,19.0,11.3
2018,קריית ביאליק,2,61.06,25.35,1217,24.9,10.1
2018,קריית גת,13,51.97,22.12,2345,11.7,8.8
2018,קריית טבעון,3,80.79,21.97,769,52.4,12.1
2018,קריית ים,3,50.0,21.98,945,12.4,10.1
2018,קריית יערים,2,12.35,24.88,199,15.0,6.0
2018,קריית מוצקין,4,65.86,26.51,1617,27.0,12.8
2018,קריית מלאכי,7,54.08,19.67,846,9.7,7.9
2018,קריית עקרון,1,65.35,27.29,191,13.9,9.8
2018,קריית שמונה,6,52.81,21.15,846,12.7,20.7
2018,קרני שומרון,1,72.79,29.33,264,35.1,14.0
2018,ראמה,3,71.72,26.71,908,19.1,17.2
2018,ראש העין,6,67.75,27.84,1587,31.5,12.5
2018,ראש פינה,-,67.31,-,-,35.8,10.3
2018,ראשון לציון,30,71.74,27.31,9313,24.5,15.6
2018,רהט,11,38.34,26.86,3572,6.3,8.0
2018,רחובות,28,66.09,26.51,5780,36.6,15.3
2018,ריינה,3,39.49,29.41,1088,7.7,12.4
2018,רכסים,9,8.43,25.06,802,6.8,3.5
2018,רמלה,14,47.02,23.12,3191,7.8,9.6
2018,רמת גן,15,77.54,29.82,6472,39.7,19.5
2018,רמת השרון,5,75.0,28.33,2833,54.1,17.6
2018,רמת ישי,-,79.46,-,-,49.3,14.0
2018,רעננה,13,82.51,25.88,3546,42.6,17.5
2018,שבלי - אום אל-גנם,1,37.93,23.93,359,9.5,12.8
2018,שגב-שלום,3,29.03,29.50,1357,6.0,5.6
2018,שדרות,4,64.29,18.81,696,14.9,14.5
2018,שוהם,2,89.16,30.67,1288,57.2,19.7
2018,שלומי,1,60.19,19.33,116,14.0,8.2
2018,שעב,1,40.97,26.62,346,8.9,14.7
2018,שפרעם,9,48.36,26.58,2206,9.9,11.8
2018,תל אביב -יפו,65,65.9,24.68,12614,42.2,21.5
2018,תל מונד,1,86.96,33.17,796,51.7,12.9
2018,תל שבע,5,23.13,26.87,1236,6.4,7.1
2017,אבו גוש,3,27.70,15,320,10.0,20.8
2017,אבו סנאן,3,51.70,23,616,11.0,10.2
2017,אבן יהודה,4,79.80,28,1274,53.8,13.1
2017,אום אל-פחם,12,43.60,25,3778,7.3,10.5
2017,אופקים,10,32.80,21,1440,9.6,6.8
2017,אור יהודה,7,46.70,21,1103,12.0,12.4
2017,אור עקיבא,5,55.20,21,806,11.6,9.1
2017,אורנית,..,81.10,31,308,45.8,16.8
2017,אזור,..,55.20,0,0,19.9,11.4
2017,אילת,7,59.70,21,1881,10.2,6.7
2017,אכסאל,5,36.50,24,968,11.8,10.3
2017,אליכין,..,58.50,0,0,25.7,14.2
2017,אלעד,28,15.20,28,3269,10.7,5.9
2017,אלפי מנשה,..,69.60,0,0,34.6,11.2
2017,אלקנה,..,90.90,25,374,66.2,52.9
2017,אעבלין,4,62.40,25,1392,11.4,15.1
2017,אפרת,3,83.10,22,648,43.6,24.1
2017,אריאל,..,63.70,22,488,20.9,41.8
2017,אשדוד,51,50,24,11662,13.4,11.1
2017,אשקלון,21,61.40,23,5123,17.2,11.9
2017,באקה אל-גרביה,6,51.40,25,1981,11.1,15.4
2017,באר יעקב,4,54.30,21,1086,31.0,7.9
2017,באר שבע,31,58,23,8179,19.3,15.6
2017,בועיינה-נוג'ידאת,..,52.70,29,642,9.6,14.9
2017,בוקעאתא,..,62.40,26,230,5.2,11.7
2017,ביר אל-מכסור,..,31.50,30,540,6.4,7.6
2017,בית אל,4,72.50,24,933,44.2,20.7
2017,בית אריה,..,67.40,0,0,28.0,11.3
2017,בית ג'ן,..,76.30,26,619,14.9,15.1
2017,בית דגן,..,64,0,0,23.9,14.0
2017,בית שאן,5,51.10,16,722,11.7,10.2
2017,בית שמש,50,30.20,23,6325,10.1,8.6
2017,ביתר עילית,36,4.60,27,3913,4.9,5.3
2017,בני ברק,103,5.10,28,16749,6.3,2.7
2017,"בני עי""ש",..,61.40,0,0,10.6,10.9
2017,בנימינה-גבעת עדה*,..,77.90,25,773,58.4,10.4
2017,"בסמ""ה",..,43.10,26,685,10.9,13.3
2017,בסמת טבעון,..,39,31,336,7.7,10.2
2017,בענה,..,52.90,27,676,7.3,16.2
2017,בת ים,17,58.90,23,3604,8.9,9.2
2017,גבעת זאב,..,46.40,5,5,22.4,12.2
2017,גבעת שמואל,..,83.10,30,627,56.8,30.2
2017,גבעתיים,5,85.80,29,2445,52.2,20.0
2017,ג'דיידה-מכר,4,44.70,27,1105,8.5,12.2
2017,גדרה,6,75.10,26,1640,40.4,11.3
2017,ג'ולס,..,51.80,27,322,17.3,16.3
2017,ג'לג'וליה,..,63.90,34,503,9.0,14.3
2017,גן יבנה,3,74.90,26,1180,30.3,13.2
2017,גני תקווה,..,75,24,218,51.1,17.2
2017,ג'סר א-זרקא,..,23.40,23,728,1.9,3.9
2017,ג'ש (גוש חלב),..,59.50,21,169,23.5,23.4
